player_id,matches_played,starts,minutes_played,goals,assists,yellow_cards,red_cards
1625,9,1,241,2,0,1,0
1626,4,1,142,0,0,1,0
1627,23,14,1239,1,2,3,0
1628,33,13,1406,3,2,4,0
1629,28,27,2340,1,1,4,1
1630,30,27,2399,0,1,5,0
1631,16,14,1175,7,0,0,0
1632,17,17,1448,15,9,2,0
1633,2,0,64,0,1,0,0
1634,22,19,1725,2,0,3,0
1635,2,2,180,0,0,0,0
1636,6,2,171,0,0,0,0
1637,36,35,3085,0,8,5,0
1638,26,16,1333,2,2,3,0
1639,2,0,40,0,0,0,0
1640,28,11,1038,1,3,2,0
1641,32,24,2039,1,1,1,0
1642,13,6,904,0,1,2,0
1643,17,5,496,1,0,2,0
1644,30,20,1748,0,1,8,3
1645,33,25,2290,8,4,1,0
1646,32,30,2624,2,2,3,0
1647,37,37,3194,0,0,5,1
1648,28,28,2490,0,4,5,0
1649,1,0,6,0,0,0,0
1650,5,5,450,0,0,0,0
1651,30,30,2474,12,3,1,0
1652,20,20,1751,2,1,7,0
1653,8,4,351,1,0,1,0
1654,5,2,261,1,0,0,0
1655,28,9,1012,4,0,1,0
1656,9,1,183,0,1,1,0
1657,3,0,53,0,0,1,0
1658,35,26,2337,4,0,1,0
1659,23,9,1038,0,0,4,0
1660,32,21,1992,1,0,5,1
1661,28,20,1919,1,2,5,0
1662,26,16,1538,1,0,3,0
1663,14,12,1055,2,1,1,0
1664,16,10,910,1,1,2,0
1665,17,11,1046,0,0,5,0
1666,29,27,2370,0,4,6,0
1667,30,4,656,0,0,9,0
1668,16,2,312,1,0,0,0
1669,36,22,1913,3,2,6,0
1670,3,1,68,0,0,0,0
1671,37,33,2648,14,2,2,0
1672,29,25,2010,0,1,1,0
1673,5,0,66,0,0,1,0
1674,30,28,2551,1,1,4,0
1675,24,10,921,2,3,3,0
1676,13,9,900,0,0,2,0
1677,29,23,2078,1,3,3,0
1678,22,13,1042,4,4,3,1
1679,1,0,2,0,0,0,0
1680,30,16,1615,4,1,2,0
1681,33,21,2045,0,0,6,1
1682,22,17,1501,0,0,3,0
1683,19,1,252,2,2,1,0
1684,24,7,1114,5,1,0,0
1685,20,8,808,2,2,1,0
1686,37,34,2838,0,1,3,0
1687,1,0,8,0,0,0,0
1688,11,3,335,1,1,1,0
1689,20,7,702,0,0,3,0
1690,23,7,709,3,3,1,0
1691,10,1,222,0,0,3,0
1692,34,34,2907,31,3,3,1
1693,9,4,340,1,1,0,0
1694,38,38,3414,20,7,3,0
1695,15,3,349,3,0,1,0
1696,18,9,852,1,1,3,0
1697,34,20,1837,3,6,3,0
